代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
404002.NQ,搜特退债,2024/06/05,0.0100,0.0000,0.0000,0.0000,37.5560,37.5460,375460.0000000000000000,86,null,null,4.79284268825221003300,null,109.68550241,-72.12950241,-65.76028811937499151900,1.100,90.9090909090909091,null,null,null,null,null,null,null,6.0000,2020/03/11,0.4000,代办转让,可转债
113574.SH,华体转债,2024/06/05,119.9440,125.0000,143.9330,125.0000,143.9330,23.9890,20.00016674448075768700,67,0.403835616438,1.81917808219178082192,1.52848894971966123100,-12.9167,100.96445830,42.96854170,42.55808670049587142700,30.710,3.2562683165092804,40.3777271247150765,103.5552728752849235,256.4663250000000000,154.8833,2.2854,-103.5552728752849235,39.99202076114647613600,6.0000,2020/03/31,0.5000,上交所,可转债
128044.SZ,岭南转债,2024/06/05,60.1000,59.0600,71.6720,58.6000,69.4000,9.3000,15.47420965058236272900,297,1.621917808219,0.19125683060109289617,10.08645533141210374600,283.2769,102.52938468,-33.12938468,-32.31208768432452861200,1.940,51.5463917525773196,58.7628865979381443,10.6371134020618557,18.10175438596491234100,-5.3092,1.0115,-10.6371134020618557,57.31321492013283025600,6.0000,2018/08/14,0.3000,深交所,可转债
123232.SZ,金现转债,2024/06/05,127.1000,127.4800,136.0000,124.8300,136.0000,8.9000,7.00236034618410700200,192,0.156986301370,5.47814207650273224044,0.22058823529411764700,-2.1641,83.70011631,52.29988369,62.48483992100679555200,9.370,10.6723585912486660,58.8046958377801494,77.1953041622198506,131.2740471869328500,-40.7291,1.9966,-77.1953041622198506,70.25640874856766301200,6.0000,2023/11/27,0.3000,深交所,可转债
123238.SZ,卡倍转02,2024/06/05,162.8880,163.9800,176.5670,158.0000,172.5000,9.6120,5.90098718137616030600,147,0.080000000000,5.60109289617486338798,0.11594202898550724600,-6.3722,81.62276077,90.87723923,111.3381100721129200,41.430,2.4137098720733768,119.0441708906589428,53.4558291093410572,44.90419708029197079700,24.8152,3.4874,-53.4558291093410572,145.8467831370058000,6.0000,2024/01/11,0.2000,深交所,可转债
113575.SH,东时转债,2024/06/05,103.8010,103.0000,118.8000,102.3020,109.7720,5.9710,5.75235306018246452300,58,0.317808219178,1.84383561643835616438,1.82195824071712276400,0.1137,102.96724435,6.80475565,6.60866054341484375200,12.150,8.2304526748971193,9.7942386831275720,99.9777613168724280,1020.7813445378151300,-6.1079,0.4845,-99.9777613168724280,9.51199456191678883200,6.0000,2020/04/09,0.4000,上交所,可转债
113561.SH,正裕转债,2024/06/05,168.7760,170.9040,183.9800,142.0000,177.1880,8.4120,4.98412096506612314500,158,0.946301369863,1.57103825136612021858,1.24161907126893469100,-24.6197,104.44439604,72.74360396,69.64816372928302875000,9.880,10.1214574898785425,88.8663967611336032,88.3216032388663968,99.38695216400911170500,31.7176,1.6910,-88.3216032388663968,85.08488739510700817500,6.0000,2019/12/31,0.5000,上交所,可转债
127033.SZ,中装转2,2024/06/05,36.8000,37.5000,42.7490,34.3700,38.4100,1.6100,4.37500000000000000000,51,0.209589041096,2.86301369863013698630,3.90523301223639677200,47.9744,91.52459082,-53.11459082,-58.03313660747158749200,5.140,19.4552529182879377,24.3190661478599222,14.0909338521400778,57.94191999999999986400,-2.5349,0.3568,-14.0909338521400778,26.57107333665971171200,6.0000,2021/04/16,0.3000,深交所,可转债
113576.SH,起步转债,2024/06/05,114.8610,114.7990,129.2690,114.7000,118.9180,4.0570,3.53209531520707637900,57,0.390410958904,1.84657534246575342466,2.10228897223296725500,-0.6550,113.07577481,5.84222519,5.16664617139845181300,1.750,57.1428571428571429,97.7142857142857143,21.2037142857142857,21.69970760233918126900,-63.2257,36.0645,-21.2037142857142857,86.41487168977968137800,6.0000,2020/04/10,0.5000,上交所,可转债
110052.SH,贵广转债,2024/06/05,130.2890,134.9000,149.8000,128.3660,134.6250,4.3360,3.32798624596090230200,93,0.560547945205,0.74794520547945205479,null,-21.4764,111.21553832,23.40946168,21.04873296808945392300,7.250,13.7931034482758621,124.0000000000000000,10.6250000000000000,8.56854838709677419400,-14.3165,2.8963,-10.6250000000000000,111.4952117960489700,6.0000,2019/03/04,0.5000,上交所,可转债
128053.SZ,尚荣转债,2024/06/05,110.0800,110.6010,115.9000,110.0010,113.0000,2.9200,2.65261627906976744200,113,0.613698630137,0.69398907103825136612,8.84955752212389380500,-3.8255,108.34992460,4.65007540,4.29172001472717222400,4.880,20.4918032786885246,51.6393442622950820,61.3606557377049180,118.8253968253968300,38.3359,0.8115,-61.3606557377049180,47.65978790749899792700,6.0000,2019/02/14,0.4000,深交所,可转债
123065.SZ,宝莱转债,2024/06/05,114.0080,114.0300,119.4950,113.6000,117.0000,2.9920,2.62437723668514490200,276,1.356164383562,2.24863387978142076503,1.53846153846153846200,0.8900,109.94272509,7.05727491,6.41904673931163515800,24.020,4.1631973355537052,26.1448792672772689,90.8551207327227311,347.5063694267515900,114.5228,1.3267,-90.8551207327227311,23.78045409177811466600,6.0000,2020/09/04,0.4000,深交所,可转债
