代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
127048.SZ,中大转债,2021-11-24,100.0,130.0,131.0,129.999,129.999,29.999,29.999,30,0.032876712329,0.7726027397260274,0.2621727227195748,-1.1309,93.7043106,36.2946894,38.7332121303713,22.1,4.524886877828054,105.2036199095023,24.79538009049774,23.56894193548387,26.2459,3.3121,-24.79538009049774,112.2719106899894,6,2021-10-26,0.4,深交所,可转债
123129.SZ,锦鸡转债,2021-11-24,100.0,117.5,125.22,117.5,122.9,22.9,22.9,21,0.02301369863,5.945205479452055,0.3254678600488202,-0.7233,70.31946849,52.58053151,74.77378973289223,9.53,10.49317943336831,102.308499475341,20.59150052465897,20.1268717948718,63.9093,3.2592,-20.59150052465897,145.4910022391454,6,2021-11-04,0.4,深交所,可转债
113527.SH,维格转债,2021-11-24,140.14,141.5,172.96,141.0,163.65,23.51,16.77608106179535,305,0.835616438356,3.167123287671233,0.6110601894286587,-9.6254,105.71551575,57.93448425,54.80225285662478,9.85,10.15228426395939,134.1116751269036,29.53832487309645,22.02517032551098,20.9047,1.6084,-29.53832487309645,126.8609193035163,6,2019-01-24,0.5,上交所,可转债
113577.SH,春秋转债,2021-11-24,155.97,156.6,179.9,152.83,170.94,14.97,9.597999615310636,225,0.431506849315,4.386301369863014,0.4095004095004095,-8.3131,89.08496992,81.85503008,91.88422037242351,10.85,9.216589861751151,140.5529953917051,30.38700460829493,21.61960655737705,21.8409,2.6946,-30.38700460829493,157.7740841332992,6,2020-04-14,0.5,上交所,可转债
123074.SZ,隆利转债,2021-11-24,167.33,167.9,187.888,164.7,182.0,14.67,8.767106914480369,27,0.044383561644,0.06027397260273973,0.04335390636760494,-7.6709,99.68453202,82.31546798,82.57596872048795,18.34,5.452562704471101,156.3794983642312,25.62050163576881,16.38354253835425,-38.6102,6.0553,-25.62050163576881,156.8743868234806,6,2020-10-29,0.4,深交所,可转债
127043.SZ,川恒转债,2021-11-24,163.501,164.53,178.0,164.0,174.99,11.489,7.026868337196714,105,0.115068493151,5.715068493150685,0.2285844905423167,-6.3566,83.44243343,91.54756657,109.7134429172651,21.02,4.757373929590866,149.9524262607041,25.03757373929591,16.6970114213198,54.4978,4.8653,-25.03757373929591,179.7076380646298,6,2021-08-12,0.4,深交所,可转债
128144.SZ,利民转债,2021-11-24,125.5,125.0,135.98,124.8,134.0,8.5,6.772908366533865,269,0.221095890411,5.265753424657534,0.2238805970149254,-3.0519,91.03590001,42.96409999,47.19467812728883,11.5,8.695652173913043,113.7391304347826,20.26086956521739,17.81345565749236,13.5379,1.9359,-20.26086956521739,124.9387663792951,6,2021-03-01,0.3,深交所,可转债
123103.SZ,震安转债,2021-11-24,167.45,167.45,188.66,167.195,178.2,10.75,6.41982681397432,258,0.353424657534,5.295890410958904,0.2805836139169473,-7.1329,77.069875,101.130125,131.2187479219345,56.89,1.757778168395149,159.3953243100721,18.80467568992793,11.79750771945302,175.0402,15.633,-18.80467568992793,206.8192329494138,6,2021-03-12,0.5,深交所,可转债
123097.SZ,美力转债,2021-11-24,138.911,147.0,161.0,144.87,146.25,7.339,5.283238908365788,302,0.413698630137,0.7890410958904109,0.3418803418803419,-3.5829,94.18976377,52.06023623,55.27164964244395,9.28,10.77586206896552,134.0517241379311,12.19827586206897,9.09967845659164,59.2293,3.1632,-12.19827586206897,142.3209049183615,6,2021-01-27,0.5,深交所,可转债
113534.SH,鼎胜转债,2021-11-24,296.53,294.8,315.37,293.0,310.63,14.1,4.75499949414899,230,0.630136986301,3.372602739726027,0.3219264076232173,-25.9916,92.88813099,217.74186901,234.4130156235368,15.18,6.587615283267457,301.7127799736496,8.917220026350462,2.955532751091703,63.5321,4.7783,-8.917220026350462,324.8130592767884,6,2019-04-08,0.4,上交所,可转债
123118.SZ,惠城转债,2021-11-24,118.578,118.489,129.2,118.231,124.2,5.622,4.741183018772453,141,0.193150684932,5.616438356164384,0.4025764895330113,-0.3694,75.0141459,49.1858541,65.56877174282404,17.11,5.844535359438924,102.39625949737,21.80374050263004,21.29349315068493,125.2702,2.6287,-21.80374050263004,136.5025999681081,6,2021-07-07,0.5,深交所,可转债
113600.SH,新星转债,2021-11-24,145.19,145.1,157.0,144.5,151.61,6.42,4.421792134444521,104,0.17095890411,4.717808219178083,0.3957522590858123,-3.9792,83.88380778,67.72619222,80.73809953599606,23.85,4.19287211740042,128.3018867924528,23.30811320754717,18.16661764705883,122.1605,3.2903,-23.30811320754717,152.951910729836,6,2020-08-13,0.4,上交所,可转债
113545.SH,金能转债,2021-11-24,162.01,163.82,169.8,162.89,168.52,6.51,4.018270477131042,42,0.115068493151,3.887671232876712,0.593401376691194,-9.649,97.54792053,70.97207947,72.75611728511748,10.43,9.587727708533079,149.0891658676894,19.43083413231064,13.03302893890675,8.8192,1.5272,-19.43083413231064,152.8368468109357,6,2019-10-11,0.4,上交所,可转债
113619.SH,世运转债,2021-11-24,136.72,137.4,150.0,135.56,142.04,5.32,3.891164423639555,309,0.25397260274,5.156164383561644,0.211208110391439,-4.0544,92.48499693,49.55500307,53.5816669891952,19.92,5.020080321285141,119.4277108433735,22.61228915662651,18.93387137452711,60.7623,4.8526,-22.61228915662651,129.1319833570043,6,2021-01-20,0.3,上交所,可转债
113607.SH,伟20转债,2021-11-24,144.4,144.47,150.7,143.38,149.97,5.57,3.857340720221607,23,0.031506849315,0.0958904109589041,0.05206520756206041,-5.3506,99.66532746,50.30467254,50.47359379839437,21.71,4.606172270842929,151.5430677107324,-1.573067710732381,-1.038033434650456,25.906,6.6767,1.573067710732381,152.0519438132114,6,2020-11-02,0.3,上交所,可转债
128069.SZ,华森转债,2021-11-24,109.305,109.8,118.0,109.454,113.497,4.192,3.835140204016285,154,0.421917808219,1.06027397260274,0.8810805571953444,1.429,95.14735568,18.34964432,19.28550109339203,18.01,5.55247084952804,70.84952803997778,42.64747196002221,60.19443338557993,42.9821,4.3249,-42.64747196002221,74.46295016149396,6,2019-06-21,0.5,深交所,可转债
127044.SZ,蒙娜转债,2021-11-24,124.287,124.53,130.898,123.756,129.0,4.713,3.792029737623404,101,0.08301369863,5.726027397260274,0.2325581395348837,-1.7039,80.63452546,48.36547454,59.98109899461421,27.07,3.694126339120798,88.28961950498707,40.71038049501293,46.11004184100418,17.8249,2.6624,-40.71038049501293,109.4935686684043,6,2021-08-16,0.3,深交所,可转债
123092.SZ,天壕转债,2021-11-24,249.999,252.0,268.5,250.126,258.8,8.801,3.520414081656327,336,0.460273972603,5.082191780821918,0.1931993817619784,-14.0673,78.76482668,180.03517332,228.5730584432488,5.19,19.26782273603083,252.6011560693642,6.198843930635838,2.454004576659039,169.2099,3.3898,-6.198843930635838,320.7029923338926,6,2020-12-24,0.5,深交所,可转债
110066.SH,盛屯转债,2021-11-24,249.28,249.3,267.98,249.28,257.87,8.59,3.445924261874198,268,0.440547945205,0.3123287671232877,0.2326753790669717,-17.5172,99.3180873,158.5519127,159.6405216917624,4.87,20.53388090349076,221.3552361396304,36.51476386036961,16.49600185528757,14.8671,2.3948,-36.51476386036961,222.8750494066657,6,2020-03-02,0.4,上交所,可转债
113579.SH,健友转债,2021-11-24,137.17,136.9,143.98,136.2,141.7,4.53,3.302471385871546,216,0.355068493151,4.410958904109589,0.4234297812279464,-4.9221,94.74634308,46.95365692,49.55722341742965,32.2,3.105590062111801,129.8757763975155,11.82422360248447,9.104256336681013,45.1839,11.8506,-11.82422360248447,137.0773500860647,6,2020-04-23,0.3,上交所,可转债
127024.SZ,盈峰转债,2021-11-24,118.2,117.615,124.11,117.5,121.9,3.7,3.130287648054146,21,0.028767123288,4.945205479452055,0.4101722723543889,-1.261,96.48714611,25.41285389,26.33807187231771,8.19,12.21001221001221,95.48229548229548,26.41770451770452,27.66764705882353,33.0873,1.5082,-26.41770451770452,98.95856529266713,6,2020-11-04,0.2,深交所,可转债
128096.SZ,奥瑞转债,2021-11-24,173.376,172.5,181.99,170.38,178.499,5.123,2.95484957548911,287,0.62904109589,0.2657534246575343,0.4481817825309946,-10.008,99.93218735,78.56681265,78.62012704158026,4.5,22.22222222222222,170.2222222222222,8.276777777777777,4.86233681462141,17.0082,2.5993,-8.276777777777777,170.3377327527518,6,2020-02-11,0.5,深交所,可转债
128113.SZ,比音转债,2021-11-24,182.719,182.201,188.348,181.213,188.0,5.281,2.890230353712531,163,0.267945205479,0.2493150684931507,0.2212183037015426,-10.0637,99.34938125,88.65061875,89.23117349560745,14.6,6.849315068493151,173.4246575342466,14.57534246575342,8.404423380726698,22.754,4.706,-14.57534246575342,174.5603800972304,6,2020-06-15,0.4,深交所,可转债
