代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
123035.SZ,利德转债,2024/12/13,158.4000,170.3800,190.0800,170.3800,190.0800,31.6800,20.0000000000,30,0.164383561644,0.9205479452054794,5.260942760942760900,-45.7658,108.19438476781,81.88561523219,75.6837939491224,4.270,23.41920375,188.758782201405,1.321217798595,0.699950372200,84.3000,2.4628,-1.321217798595,174.46264203682088,6.0000,2019/11/14,0.5000,深交所,可转债,AA+,3.256292
117206.SZ,23绿能EB,2024/12/13,101.3000,119.8000,119.8000,119.8000,119.8000,18.5000,18.2625863800,231,0.632876712329,1.36986301369863,0.834724540901502500,-9.5862,102.20158311657,17.59841688342999,17.219319257860644,26.200,3.81679389,92.213740458015,27.586259541985,29.915562913900,29.3796,4.8891,-27.586259541985,90.22731120792622,3.0000,2023/04/25,1.0000,深交所,可交换债券(私募),,20.5
404004.NQ,汇车退债,2024/12/13,46.0870,0.0000,0.0000,0.0000,49.5090,3.4220,7.4250873300,100,null,1.6794520547945204,3.635702599527358700,null,99.405958575721,-49.896958575721,-50.195138491333736,0.570,175.43859649,null,null,null,null,null,null,0.0,6.0000,2020/08/18,0.2000,代办转让,可转债,A,28.81556
117222.SZ,24广州数字科技EB,2024/12/13,109.1439,107.0000,119.0100,107.0000,115.8565,6.7126,6.1502291900,232,0.190684931507,2.367123287671233,0.258941017551885300,-3.8047,100.87183403506,14.984665964939992,14.855153679204221,14.320,6.98324022,88.128491620112,27.728008379888,31.463160063400,34.9304,2.5486,-27.728008379888,87.36679813859753,3.0000,2024/04/24,0.3000,深交所,可交换债券(私募),,30.0
113608.SH,威派转债,2024/12/13,115.0380,119.8000,126.7700,118.7000,121.5950,6.5570,5.6998557000,35,0.230136986301,1.9068493150684933,1.973765368641802700,-1.8438,106.7275848931,14.867415106899998,13.930245982602745,17.540,5.70125428,38.198403648803,83.396596351197,218.324820895500,-16.1248,2.0376,-83.396596351197,35.790563130481324,6.0000,2020/11/09,0.5000,上交所,可转债,A+,4.19974
123213.SZ,天源转债,2024/12/13,232.0000,231.0000,250.5880,227.0000,242.2990,10.2990,4.4392241400,139,0.190410958904,4.6219178082191785,0.206356608983115900,-14.7832,100.08932206891,142.20967793109003,142.08276666434088,7.240,13.81215470,242.403314917127,-0.104314917127,-0.043033618200,44.4105,4.3011,0.104314917127,242.18698848837838,6.0000,2023/07/28,0.3000,深交所,可转债,AA-,5.461992
123244.SZ,松原转债,2024/12/13,227.5000,231.8000,242.6000,218.8800,237.0100,9.5100,4.1802197800,135,0.073972602740,5.632876712328767,0.084384625121302900,-11.5327,87.632654407457,149.377345592543,170.45854265465675,28.690,3.48553503,107.319623562217,129.690376437783,120.844978889200,27.4054,5.6945,-129.690376437783,122.46533474065893,6.0000,2024/08/01,0.2000,深交所,可转债,A+,4.0987
113530.SH,大丰转债,2024/12/13,116.8160,116.8000,122.0000,116.6240,121.0730,4.2570,3.6441925800,262,2.153424657534,0.28493150684931506,13.215167708737703700,-14.7055,115.17507019926,5.897929800739988,5.120838902495309,12.950,7.72200772,100.694980694981,20.378019305019,20.237373466300,76.0357,1.9408,-20.378019305019,87.42775717069019,6.0000,2019/03/26,0.4000,上交所,可转债,AA-,6.29734
123246.SZ,远信转债,2024/12/13,233.9070,234.1000,252.8290,233.8000,241.8000,7.8930,3.3744180400,120,0.164383561644,5.673972602739726,0.206782464846981000,-11.2346,81.115949775883,160.68405022411702,198.09180644259783,23.250,4.30107527,97.720430107527,144.079569892473,147.440580985900,39.3993,3.0098,-144.079569892473,120.47005598469953,6.0000,2024/08/16,0.5000,深交所,可转债,A,2.86467
110090.SH,爱迪转债,2024/12/13,121.6620,121.6620,130.2140,121.5620,125.7110,4.0490,3.3280728600,82,0.224657534247,3.778082191780822,0.795475336287198400,-2.6422,104.82396615439,20.88703384560999,19.925819077334396,18.110,5.52181115,98.729983434567,26.981016565433,27.328087807600,17.6688,2.1976,-26.981016565433,94.18646045996057,6.0000,2022/09/23,0.3000,上交所,可转债,AA,15.69798
123118.SZ,惠城转债,2024/12/13,941.0000,957.9380,1008.1520,933.2090,970.9700,29.9700,3.1849096700,160,0.789041095890,2.5643835616438357,0.185381628680597800,-56.2674,104.80286955731,866.16713044269,826.4727236013689,11.250,8.88888889,848.888888888889,122.081111111111,14.381282722500,323.2535,14.2570,-122.081111111111,809.9863033088859,6.0000,2021/07/07,0.5000,深交所,可转债,A+,1.239166
111011.SH,冠盛转债,2024/12/13,168.9270,168.8620,175.8360,167.1610,174.1400,5.2130,3.0859483700,346,0.378082191781,4.057377049180328,0.229700241185253200,-8.9679,104.75304248339,69.38695751660998,66.2386083226291,17.010,5.87889477,167.078189300412,7.061810699588,4.226650246300,17.2498,2.2897,-7.061810699588,159.49721873415226,6.0000,2023/01/03,0.3000,上交所,可转债,AA-,3.42794
123163.SZ,金沃转债,2024/12/13,139.4010,139.4010,148.2800,138.1210,143.6490,4.2480,3.0473239100,61,0.167123287671,3.8356164383561646,0.696141288835982200,-4.5656,91.168484698413,52.480515301587005,57.56431674299897,26.930,3.71333086,142.629038247308,1.019961752692,0.715115074200,108.5933,4.6717,-1.019961752692,156.4455510247071,6.0000,2022/10/14,0.5000,深交所,可转债,A,2.091734
110052.SH,贵广转债,2024/12/13,145.7190,145.6190,159.9000,144.5030,149.7440,4.0250,2.7621655400,284,1.711780821918,0.22465753424657534,8.681483064429960500,-109.2234,112.54692398331,37.197076016690005,33.05028222913147,7.250,13.79310345,141.379310344828,8.364689655172,5.916487804900,-13.8130,3.8240,-8.364689655172,125.61810251321812,6.0000,2019/03/04,0.5000,上交所,可转债,AA+,1.67505
123127.SZ,耐普转债,2024/12/13,178.4990,177.9330,196.5590,177.8100,182.9490,4.4500,2.4930111700,46,0.226849315068,2.8767123287671232,0.983880753652657300,-15.3601,98.504891496569,84.44410850343101,85.72580226269501,17.240,5.80046404,174.071925754060,8.877074245940,5.099658780400,29.5683,3.3204,-8.877074245940,176.71399167027462,6.0000,2021/10/29,0.4000,深交所,可转债,A+,1.848085
113646.SH,永吉转债,2024/12/13,142.4190,142.5000,148.1930,140.9200,145.8870,3.4680,2.4350683500,244,0.668493150685,3.334246575342466,0.685462035685153600,-7.6139,101.45315645262,44.43384354738001,43.79739882034249,8.180,12.22493888,144.743276283619,1.143723716381,0.790173986500,29.0958,4.2988,-1.143723716381,142.67005714229904,6.0000,2022/04/14,0.3000,上交所,可转债,AA-,1.37515
110076.SH,华海转债,2024/12/13,111.9210,111.9340,114.9000,111.9340,114.5030,2.5820,2.3069843900,42,0.207123287671,1.8876712328767122,1.572011213679990900,-1.2683,107.6297013392,6.873298660800003,6.386061259371596,33.730,2.96471983,58.908983101097,55.594016898903,94.372732259700,21.1956,3.4078,-55.594016898903,54.73301734383021,6.0000,2020/11/02,0.3000,上交所,可转债,AA,18.42422
127106.SZ,伟隆转债,2024/12/13,216.2550,216.5000,223.6800,215.8960,221.0000,4.7450,2.1941689200,123,0.168493150685,5.6657534246575345,0.226244343891402700,-10.1955,79.306267397597,141.693732602403,178.66650045705765,8.600,11.62790698,121.976744186047,99.023255813953,81.182078169700,19.3037,2.9663,-99.023255813953,153.8046716718166,6.0000,2024/08/13,0.5000,深交所,可转债,A,2.6971
123138.SZ,丝路转债,2024/12/13,127.7000,127.5010,138.3140,126.8350,130.4310,2.7310,2.1386061100,287,0.943561643836,3.2164383561643834,0.920026680773742400,-2.4922,102.1774243621,28.253575637900013,27.65148545707512,26.530,3.76931775,101.583113456464,28.847886543536,28.398309090900,-15.1332,4.4581,-28.847886543536,99.41835399615296,6.0000,2022/03/02,0.5000,深交所,可转债,A+,2.39491
111019.SH,宏柏转债,2024/12/13,126.3680,126.4100,130.1600,125.1500,128.9760,2.6080,2.0638136200,241,0.132054794521,5.342465753424658,0.155067609477732300,-1.3775,99.519131757623,29.456868242377,29.59920140191602,5.450,18.34862385,130.642201834862,-1.666201834862,-1.275393258400,-234.2925,2.2679,1.666201834862,131.27345418671723,6.0000,2024/04/17,0.2000,上交所,可转债,AA-,8.41438
123237.SZ,佳禾转债,2024/12/13,143.3450,142.9060,153.4960,142.4430,146.1450,2.8000,1.9533293800,345,0.188493150685,5.060109289617486,0.136850388312976800,-4.2210,89.219218671603,56.92578132839701,63.804393465861565,13.580,7.36377025,147.422680412371,-1.277680412371,-0.866678321700,77.5913,3.0430,1.277680412371,165.23646206206152,6.0000,2024/01/04,0.2000,深交所,可转债,A+,5.17295
123038.SZ,联得转债,2024/12/13,170.5800,170.7490,174.2010,168.0390,173.5000,2.9200,1.7118067800,355,2.036712328767,1.0327868852459017,1.210374639769452400,-33.1841,109.56825986837,63.931740131629994,58.34877747299673,23.780,4.20521447,138.982338099243,34.517661900757,24.836006051400,22.6836,3.2594,-34.517661900757,126.8454370510307,6.0000,2019/12/25,0.5000,深交所,可转债,A+,1.098739
123242.SZ,赛龙转债,2024/12/13,168.4000,168.1110,174.4580,167.1100,170.8500,2.4500,1.4548693600,159,0.130684931507,5.567123287671233,0.175592625109745400,-6.1362,88.721543414449,82.12845658555099,92.56878704408982,36.810,2.71665308,107.307796794349,63.542203205651,59.214898734200,53.8631,2.3151,-63.542203205651,120.94897435798337,6.0000,2024/07/08,0.3000,深交所,可转债,A+,2.5
111016.SH,神通转债,2024/12/13,119.6360,119.6200,124.7510,117.6500,121.3460,1.7100,1.4293356500,142,0.155616438356,4.6136986301369864,0.329635917129530400,-0.3005,102.38694032052,18.959059679480006,18.517068309814803,11.520,8.68055556,105.815972222222,15.530027777778,14.676449548800,235.2212,3.4326,-15.530027777778,103.34909109596155,6.0000,2023/07/25,0.2000,上交所,可转债,AA-,5.76853
118045.SH,盟升转债,2024/12/13,186.1320,184.0000,189.2960,179.0140,188.4720,2.3400,1.2571723300,93,0.101917808219,4.747945205479452,0.212233116855554100,-9.7913,89.621507937367,98.85049206263301,110.29773358836563,21.100,4.73933649,168.909952606635,19.562047393365,11.581346801300,-34.5725,3.8049,-19.562047393365,188.47033094408502,6.0000,2023/09/12,0.2000,上交所,可转债,A+,1.23938
123223.SZ,九典转02,2024/12/13,177.2500,177.0810,182.0000,174.9020,179.3510,2.1010,1.1853314500,90,0.123287671233,4.756164383561644,0.278782945174546000,-8.4815,91.38049037417,87.97050962583,96.26837114314297,15.330,6.52315721,170.971950424005,8.379049575995,4.900832888200,21.6091,5.6075,-8.379049575995,187.09896360146112,6.0000,2023/09/15,0.3000,深交所,可转债,A+,2.055237
113574.SH,华体转债,2024/12/13,128.4760,128.4980,131.5550,128.3400,129.9880,1.5120,1.1768735000,258,1.555068493151,1.2958904109589042,1.692463919746438100,-10.8818,105.34962639788,24.638373602119998,23.387243452641048,16.350,6.11620795,101.590214067278,28.397785932722,27.953269115000,-65.1603,3.2926,-28.397785932722,96.43148964154499,6.0000,2020/03/31,0.5000,上交所,可转债,A+,2.07943
127104.SZ,姚记转债,2024/12/13,171.0430,171.0000,179.3240,169.2770,173.0000,1.9570,1.1441567300,324,0.265479452055,5.117486338797814,0.173410404624277500,-6.8687,91.375488618492,81.624511381508,89.32867294675056,20.610,4.85201359,165.841824357108,7.158175642892,4.316266822700,25.0231,4.2660,-7.158175642892,181.49487008438933,6.0000,2024/01/25,0.3000,深交所,可转债,A+,5.828194
123122.SZ,富瀚转债,2024/12/13,114.6060,114.6200,115.9440,114.1360,115.9000,1.2940,1.1290857400,130,0.534246575342,2.6465753424657534,1.294219154443485800,0.8556,103.60852886219,12.291471137810007,11.863377728448327,92.020,1.08672028,56.835470549880,59.064529450120,103.921950286800,48.9069,4.7341,-59.064529450120,54.85597679461024,6.0000,2021/08/06,0.3000,深交所,可转债,A+,5.802993
113643.SH,风语转债,2024/12/13,115.1030,115.1030,118.3800,114.7000,116.3730,1.2700,1.1033596000,264,0.723287671233,3.2794520547945205,0.859305852732163000,0.8290,107.84939688952,8.52360311048001,7.903245967347891,15.030,6.65335995,79.574184963407,36.798815036593,46.244664715700,-45.5520,3.2467,-36.798815036593,73.78268887764122,6.0000,2022/03/25,0.3000,上交所,可转债,AA-,4.99786
128097.SZ,奥佳转债,2024/12/13,113.2190,112.9800,115.6920,112.9800,114.4500,1.2310,1.0872733400,293,1.440000000000,1.2021857923497268,1.572739187418086500,-1.9555,108.0760018372,6.373998162800007,5.897699817209618,9.450,10.58201058,83.703703703704,30.746296296296,36.732300885000,72.5171,1.1301,-30.746296296296,77.44892694105287,6.0000,2020/02/25,0.4000,深交所,可转债,AA-,4.582732
113527.SH,维格转债,2024/12/13,116.2360,116.2350,119.2000,116.0010,117.3900,1.1540,0.9928077400,325,2.219178082192,0.11475409836065574,12.777919754663940700,-17.7417,114.75546752887,2.634532471130001,2.2957794760125125,9.390,10.64962726,103.301384451544,14.088615548456,13.638360824700,15.6155,0.9814,-14.088615548456,90.0187038369702,6.0000,2019/01/24,0.5000,上交所,可转债,AA,2.85947
113575.SH,东时转债,2024/12/13,174.2610,174.1810,177.2000,173.4170,175.8770,1.6160,0.9273446200,249,1.364383561644,1.3205479452054796,1.137158354986723700,-30.2014,92.356712914729,83.52028708527101,90.43228634867454,12.150,8.23045267,19.670781893004,156.206218106996,794.102740585800,-11.8013,1.0157,-156.206218106996,21.298702901180143,6.0000,2020/04/09,0.4000,上交所,可转债,BBB,0.98017
132026.SH,G三峡EB2,2024/12/13,131.7990,131.7980,133.3060,131.6000,133.0030,1.2040,0.9135122400,196,0.053698630137,2.4657534246575343,0.075186273993819700,-8.0182,103.55636440824,29.446635591759986,28.4353702063887,23.140,4.32152118,124.114088159032,8.888911840968,7.161887883000,18.8063,3.3393,-8.888911840968,119.85172410046118,5.0000,2022/05/27,0.1000,上交所,可交换债券(公募),AAA,95.65902856
110070.SH,凌钢转债,2024/12/13,114.6970,114.9000,120.9960,114.6930,115.6880,0.9910,0.8640156200,245,1.342465753425,1.3315068493150686,1.728787774012862200,-1.1123,111.08768411962,4.600315880380009,4.141157426080066,2.590,38.61003861,81.853281853282,33.834718146718,41.335811320800,-3.3263,1.0149,-33.834718146718,73.68348931024777,6.0000,2020/04/13,0.4000,上交所,可转债,AA,2.17026
127053.SZ,豪美转债,2024/12/13,128.3990,128.7500,130.8230,127.9540,129.5000,1.1010,0.8574833100,325,0.887671232877,3.1147540983606556,0.772200772200772200,-1.6506,111.85120813952,17.648791860480003,15.778812007524678,17.730,5.64015792,120.078962210942,9.421037789058,7.845702207600,23.0444,2.0854,-9.421037789058,107.35598140447347,6.0000,2022/01/24,0.3000,深交所,可转债,AA-,4.811614
113618.SH,美诺转债,2024/12/13,115.9600,116.6000,116.9000,115.2530,116.8930,0.9330,0.8045877900,335,1.372602739726,2.087431693989071,1.283224829544968500,-1.5146,106.38435602708,10.508643972919998,9.87799744752418,25.840,3.86996904,54.489164086687,62.403835913313,114.525221590900,36.5223,1.4642,-62.403835913313,51.21915112482972,6.0000,2021/01/14,0.4000,上交所,可转债,AA-,4.76573
