代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
113539.SH,圣达转债,2019-07-26,100.0,108.0,109.32,106.21,108.8,8.8,8.8,24,0.039452054795,0.6256830601092896,0.3797010607521691,1.9344,94.94818346,13.85181654,14.58881680009763,28.78,3.474635163307853,118.8325225851286,-10.03252258512856,-8.442573099415204,67.8559,4.7561,10.03252258512856,125.1551301507423,6,2019-07-03,0.6,上交所,可转债
113015.SH,隆基转债,2019-07-26,134.91,135.1,140.76,134.88,139.42,4.51,3.34296938699874,267,0.365753424658,0.1095890410958904,0.30065850106999,-5.4328,99.97358991,39.44641009,39.45683067449228,18.66,5.359056806002144,139.6034297963558,-0.1834297963558414,-0.1313934740882918,38.6076,5.7489,0.1834297963558414,139.6403089276199,6,2017-11-02,0.3,上交所,可转债
128043.SZ,东音转债,2019-07-26,137.51,138.0,142.79,137.301,141.248,3.738,2.718347756526798,359,0.393424657534,1.273972602739726,0.283189850475759,-4.0096,95.42381908,45.82418092,48.02174274913752,11.13,8.984725965858042,140.4312668463612,0.816733153638814,0.5815892514395393,44.3404,3.9814,-0.816733153638814,147.1658420301,6,2018-08-02,0.4,深交所,可转债
128021.SZ,兄弟转债,2019-07-26,104.728,104.001,111.4,104.001,107.25,2.522,2.408142999006951,241,0.330136986301,4.342465753424658,0.4662004662004662,0.6605,90.87941157,16.37058843,18.01352819872797,5.25,19.04761904761905,92.57142857142857,14.67857142857143,15.85648148148148,-43.1057,2.1036,-14.67857142857143,101.8618265371638,6,2017-11-28,0.3,深交所,可转债
128030.SZ,天康转债,2019-07-26,132.371,132.3,136.58,131.85,135.5,3.129,2.363810804481344,217,0.297260273973,4.408219178082192,0.3690036900369004,-4.1502,92.59462691,42.90537309,46.33678488893649,8.05,12.42236024844721,134.9068322981366,0.593167701863354,0.4396869244935543,94.3722,3.4267,-0.593167701863354,145.6961778454631,6,2017-12-22,0.3,深交所,可转债
113520.SH,百合转债,2019-07-26,122.79,121.3,126.77,121.3,125.61,2.82,2.296603957977034,261,0.357534246575,1.452054794520548,0.3980574795000398,-1.5754,91.93116575,33.67883425,36.63483865916277,14.28,7.002801120448179,125.7002801120448,-0.0902801120448179,-0.07182172701949859,19.0661,3.206,0.0902801120448179,136.7330426918304,6,2018-11-08,0.5,上交所,可转债
123020.SZ,富祥转债,2019-07-26,107.7,107.998,110.8,107.303,110.13,2.43,2.256267409470752,148,0.243287671233,1.10958904109589,0.5448106782892945,1.7502,93.55071872,16.57928128,17.72223827549874,14.93,6.697923643670462,107.7695914266577,2.360408573342264,2.190236171535115,20.2089,3.9121,-2.360408573342264,115.1991057911754,6,2019-02-28,0.6,深交所,可转债
128016.SZ,雨虹转债,2019-07-26,117.01,117.01,123.0,117.01,119.59,2.58,2.204939748739424,305,0.417808219178,0.7185792349726776,0.4180951584580651,-1.9593,98.1641353,21.4258647,21.82657101243778,22.33,4.478280340349306,106.9861173309449,12.60388266905508,11.78085809962327,69.9403,4.6677,-12.60388266905508,108.9869706527583,6,2017-09-25,0.3,深交所,可转债
123001.SZ,蓝标转债,2019-07-26,116.07,115.87,118.9,115.87,118.4,2.33,2.007409321960886,221,0.908219178082,0.2246575342465753,1.048222880414696,-2.5917,100.34218928,18.05781072,17.99622955167,4.28,23.36448598130841,118.9252336448598,-0.525233644859813,-0.4416502946954813,14.085,1.6118,0.525233644859813,118.5196720324735,6,2015-12-18,0.5,深交所,可转债
113511.SH,千禾转债,2019-07-26,121.28,120.5,123.84,120.5,123.71,2.43,2.003627968337731,37,0.050684931507,0.8415300546448088,null,-1.8985,95.02345256,28.68654744,30.18891301795907,18.31,5.461496450027307,117.0944838885855,6.615516111414528,5.649724813432836,48.7574,7.6475,-6.615516111414528,123.2269305460663,6,2018-06-20,0.3,上交所,可转债
113533.SH,参林转债,2019-07-26,121.33,121.2,123.8,121.14,123.75,2.42,1.99456029011786,115,0.094520547945,0.4794520547945205,0.1914224209306182,-1.5821,97.84910708,25.90089292,26.47023942571475,36.5,2.73972602739726,131.2054794520548,-7.455479452054795,-5.68229275422844,33.8269,7.7258,7.455479452054795,134.0896032344813,6,2019-04-03,0.3,上交所,可转债
110046.SH,圆通转债,2019-07-26,117.29,117.17,120.07,116.57,119.46,2.17,1.850115099326456,249,0.341095890411,0.6584699453551912,0.4185501423070484,-0.6291,97.99725154,21.46274846,21.90137797001322,10.73,9.319664492078285,117.614165890028,1.845834109972041,1.569397781299525,24.5151,3.19,-1.845834109972041,120.0178209508466,6,2018-11-20,0.5,上交所,可转债
128036.SZ,金农转债,2019-07-26,129.533,130.0,134.99,129.665,131.45,1.917,1.479931754842395,140,0.230136986301,4.620218579234972,0.4564473183720046,-3.6813,64.14992617,67.30007383,104.910602159778,9.62,10.3950103950104,124.7401247401247,6.70987525987526,5.379083333333333,-118.2772,4.2406,-6.70987525987526,194.4509248686556,6,2018-03-09,0.4,深交所,可转债
110054.SH,通威转债,2019-07-26,123.4,123.0,125.25,122.51,125.19,1.79,1.450567260940032,131,0.179452054795,0.6420765027322405,null,-1.4307,97.71227874,27.47772126,28.12105255790292,12.28,8.143322475570033,116.042345276873,9.147654723127037,7.883031578947368,28.19,3.6332,-9.147654723127037,118.7592253227938,6,2019-03-15,0.5,上交所,可转债
123026.SZ,中环转债,2019-07-26,106.881,107.597,108.6,107.13,108.4,1.519,1.421206762661277,47,0.064383561644,1.389041095890411,0.4612546125461255,0.5154,92.06507243,16.33492757,17.74280640730497,12.31,8.123476848090982,108.6921202274574,-0.2921202274573517,-0.2687593423019432,34.8396,2.7556,0.2921202274573517,118.0601039662456,5,2019-06-10,0.5,深交所,可转债
