代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
123054.SZ,思特转债,2023-12-27,160.249,163.888,182.179,163.6,173.591,13.342,8.325792984667611,201,0.991232876712,2.453551912568306,1.036920116826333,-14.4229,105.12186766,68.46913234,65.13310109886227,9.89,10.11122345803842,168.3518705763397,5.239129423660263,3.112011411411412,-61.498,3.8069,-5.239129423660263,160.1492385208063,6,2020-06-10,0.5,深交所,可转债
128106.SZ,华统转债,2023-12-27,223.872,223.872,241.274,223.76,239.8,15.928,7.114779874213837,262,1.076712328767,2.286885245901639,0.6255212677231026,-28.8673,104.13647934,135.66352066,130.2747332345142,8.82,11.33786848072562,238.3219954648526,1.478004535147392,0.6201712654614653,-27.0191,5.6412,-1.478004535147392,228.8554375712512,6,2020-04-10,0.3,深交所,可转债
127097.SZ,三羊转债,2023-12-27,225.0,224.0,251.496,221.012,241.0,16.0,7.111111111111111,63,0.051780821918,5.830601092896175,0.1244813278008299,-11.5993,74.04469338,166.95530662,225.4790978243092,37.65,2.656042496679947,92.16467463479415,148.8353253652059,161.4884726224784,117.5401,3.4447,-148.8353253652059,124.4716811261568,6,2023-10-26,0.3,深交所,可转债
118017.SH,深科转债,2023-12-27,152.263,152.55,164.649,149.292,159.578,7.315,4.804187491380047,142,0.194520547945,0.03835616438356165,0.1326928736290592,-5.9618,99.90409608,59.67390392,59.73118847120647,26.68,3.748125937031484,160.6821589205397,-1.10415892053973,-0.6871695824585957,-43.6601,5.1257,1.10415892053973,160.8364073399659,6,2022-08-08,0.3,上交所,可转债
123226.SZ,中富转债,2023-12-27,130.935,131.499,139.475,130.8,136.199,5.264,4.020315423683507,73,0.04,5.80327868852459,0.1468439562698698,-2.2307,85.18431816,51.01468184,59.8874099622188,36.44,2.74423710208562,90.50493962678375,45.69406037321625,50.48791873862948,149.2809,5.1333,-45.69406037321625,106.2460105119233,6,2023-10-16,0.2,深交所,可转债
123223.SZ,九典转02,2023-12-27,167.298,167.741,174.211,167.0,173.786,6.488,3.878109720379204,104,0.085479452055,5.718579234972678,0.1726261033685107,-6.5377,74.86399913,98.92200087,132.1356085963611,21.85,4.576659038901602,157.6659038901602,16.12009610983982,10.22421190130624,28.7676,6.526,-16.12009610983982,210.6031012534825,6,2023-09-15,0.3,深交所,可转债
123025.SZ,精测转债,2023-12-27,191.3,190.95,199.463,190.95,198.2,6.9,3.606900156821746,274,1.501369863014,1.254098360655738,1.009081735620585,-35.9859,107.04387747,91.15612253,85.15771726930139,48.79,2.049600327936052,171.2441073990572,26.95589260094282,15.74120885697187,-1383.0123,7.2027,-26.95589260094282,159.9756206954012,6,2019-03-29,0.5,深交所,可转债
113615.SH,金诚转债,2023-12-27,306.03,306.13,318.8,305.153,315.829,9.799,3.201973662712806,5,0.020547945205,2.989071038251366,0.4749405532740819,-28.8796,105.23565671,210.59334329,200.1159586720082,12.43,8.045052292839904,305.5510860820596,10.27791391794047,3.363730121116377,24.1568,3.3727,-10.27791391794047,290.3493888236691,6,2020-12-23,0.4,上交所,可转债
127053.SZ,豪美转债,2023-12-27,133.62,134.0,138.37,133.75,137.619,3.999,2.992815446789403,338,0.555616438356,4.076712328767123,0.435986310029865,-2.6372,98.80998407,38.80901593,39.27641148338463,17.97,5.564830272676684,129.9944351697273,7.624564830272677,5.865300941780822,34.4142,2.8014,-7.624564830272677,131.5600203696372,6,2022-01-24,0.3,深交所,可转债
123118.SZ,惠城转债,2023-12-27,316.0,316.0,333.104,314.054,325.188,9.188,2.907594936708861,174,0.572054794521,3.527322404371585,0.3690173069116942,-24.906,92.19722557,232.99077443,252.7090950834563,15.93,6.277463904582548,319.8367859384808,5.351214061519146,1.673107752698724,38.3071,5.4736,-5.351214061519146,346.9050006235246,6,2021-07-07,0.5,深交所,可转债
