代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
128078.SZ,太极转债,2019-11-08,100.0,117.5,121.9,117.02,120.2,20.2,20.2,19,0.020821917808,3.450819672131148,0.3327787021630616,-0.4168,86.47570548,33.72429452,38.99857692146809,31.61,3.163555836760519,107.8456184751661,12.35438152483391,11.45561748313288,138.5306,4.9518,-12.35438152483391,124.7120423898808,6,2019-10-21,0.4,深交所,可转债
128076.SZ,金轮转债,2019-11-08,100.0,107.0,107.01,104.521,104.666,4.666,4.666,26,0.028493150685,5.931693989071039,0.3821680392868744,1.6755,76.99753641,27.66846359,35.93421930108218,14.96,6.684491978609626,100.0,4.666,4.666,22.0264,1.392,-4.666,129.8742851557165,6,2019-10-14,0.4,深交所,可转债
128043.SZ,东音转债,2019-11-08,180.054,180.0,193.0,180.0,185.999,5.945,3.301787241605296,99,0.162739726027,0.9863387978142076,0.3225823794751584,-9.8018,96.43077091,89.56822909,92.88345228889138,6.55,15.26717557251909,182.4427480916031,3.556251908396947,1.949242677824268,68.6921,4.4709,-3.556251908396947,189.1955714653356,6,2018-08-02,0.4,深交所,可转债
128052.SZ,凯龙转债,2019-11-08,164.0,165.0,174.97,164.8,167.899,3.899,2.377439024390244,323,0.442465753425,1.374316939890711,0.2977980809891661,-7.1867,95.31542914,72.58357086,76.15091440588147,6.77,14.77104874446086,165.5834564254062,2.315543574593796,1.398414808206958,33.8951,2.441,-2.315543574593796,173.721566297725,6,2018-12-21,0.5,深交所,可转债
127008.SZ,特发转债,2019-11-08,194.3,195.001,205.3,195.001,198.111,3.811,1.961399897066392,358,0.392328767123,1.322404371584699,0.2019070117257497,-13.4805,95.51257871,102.59842129,107.4187532948036,5.61,17.825311942959,194.8306595365419,3.28034046345811,1.683688014638609,70.1065,3.3382,-3.28034046345811,203.9842941819175,5,2018-11-16,0.4,深交所,可转债
123016.SZ,洲明转债,2019-11-08,121.451,121.451,125.307,121.451,123.751,2.3,1.893767856995825,2,0.004383561644,0.3415300546448087,0.2225516044844648,-1.4336,98.06324647,25.68775353,26.19508781800175,7.82,12.78772378516624,118.0306905370844,5.720309462915601,4.846459371614301,15.8543,3.179,-5.720309462915601,120.3618019858163,6,2018-11-06,0.5,深交所,可转债
113522.SH,旭升转债,2019-11-08,118.53,119.48,121.04,118.92,120.41,1.88,1.586096346916393,352,0.385753424658,0.3068493150684932,0.3321983223984719,-0.0185,99.17125346,21.23874654,21.41623282856508,29.6,3.378378378378379,114.0202702702703,6.38972972972973,5.60402962962963,74.5198,9.3703,-6.38972972972973,114.9731059074085,6,2018-11-22,0.4,上交所,可转债
123019.SZ,中来转债,2019-11-08,108.896,108.896,111.093,108.635,110.5,1.604,1.472965030855128,257,0.352054794521,0.3797814207650273,0.4524886877828054,2.3972,98.06152186,12.43847814,12.68436171912374,13.29,7.524454477050414,102.2573363431151,8.242663656884876,8.060706401766005,16.0817,1.839,-8.242663656884876,104.2787572572098,6,2019-02-22,0.5,深交所,可转债
110031.SH,航信转债,2019-11-08,112.0,112.28,113.9,112.11,113.6,1.6,1.428571428571429,150,0.616438356164,1.592896174863388,1.320422535211268,-2.8667,102.93730517,10.66269483,10.358435955158,41.94,2.384358607534573,51.02527420123987,62.57472579876013,122.6347663551402,26.1092,3.5826,-62.57472579876013,49.56927337175974,6,2015-06-12,0.2,上交所,可转债
113530.SH,大丰转债,2019-11-08,106.36,106.5,108.85,106.35,107.7,1.34,1.259872132380594,227,0.248767123288,5.382513661202186,0.3714020427112349,2.3924,95.14683722,12.55316278,13.19346301651035,16.76,5.966587112171838,102.2673031026253,5.432696897374702,5.312252042007001,28.0969,3.7253,-5.432696897374702,107.4836600886283,6,2019-03-26,0.4,上交所,可转债
