代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
123118.SZ,惠城转债,2022-12-13,206.751,209.0,227.98,208.0,227.3,20.549,9.939008759328855,160,0.306849315068,4.564383561643836,0.3079630444346678,-13.1045,82.40159808,144.89840192,175.844164793169,17.06,5.861664712778429,221.5709261430246,5.729073856975381,2.585661375661376,-291.996,5.7681,-5.729073856975381,268.8915400984231,6,2021-07-07,0.5,深交所,可转债
128106.SZ,华统转债,2022-12-13,194.003,194.7,216.76,193.799,211.2,17.197,8.8642959129498,248,0.679452054795,3.323287671232877,0.4734848484848485,-17.5846,98.53015387,112.66984613,114.3506243567384,8.85,11.29943502824859,197.2881355932204,13.91186440677966,7.051546391752577,174.9526,4.0203,-13.91186440677966,200.2312265273847,6,2020-04-10,0.3,深交所,可转债
127028.SZ,英特转债,2022-12-13,142.6,149.9,158.88,146.11,154.05,11.45,8.02945301542777,343,0.469863013699,4.063013698630137,0.3245699448231094,-7.5249,96.87953486,57.17046514,59.011911259294,10.83,9.233610341643583,147.1837488457987,6.866251154201293,4.6650878293601,22.9229,2.5771,-6.866251154201293,151.924499904436,6,2021-01-05,0.3,深交所,可转债
128041.SZ,盛路转债,2022-12-13,311.2,309.358,325.5,305.8,325.5,14.3,4.595115681233933,150,0.739726027397,1.591780821917808,0.5529953917050692,-49.1529,98.11623946,227.38376054,231.7493636032593,6.83,14.64128843338214,146.705710102489,178.794289897511,121.872754491018,35.6683,3.0073,-178.794289897511,149.5223531903686,6,2018-07-17,0.5,深交所,可转债
128029.SZ,太阳转债,2022-12-13,135.8,135.0,143.874,135.0,141.0,5.2,3.829160530191458,357,1.467123287671,0.02465753424657534,4.25531914893617,-1006.6987,105.94492715,35.05507285,33.08801449300916,8.25,12.12121212121212,141.6969696969697,-0.696969696969697,-0.4918733960650129,10.4543,1.4641,0.696969696969697,133.7458748698282,5,2017-12-22,0.3,深交所,可转债
127060.SZ,湘佳转债,2022-12-13,120.956,121.45,128.496,120.8,125.3,4.344,3.591388604120507,239,0.13095890411,5.347945205479452,0.1596169193934557,-1.7444,72.25771587,53.04228413,73.4070866915157,42.56,2.349624060150376,110.6907894736842,14.60921052631579,13.19821693907875,37.0226,2.8138,-14.60921052631579,153.1888852850397,6,2022-04-19,0.2,深交所,可转债
113648.SH,巨星转债,2022-12-13,118.618,119.057,122.888,118.826,122.576,3.958,3.336761705643326,233,0.255342465753,5.364383561643836,0.3263281555932646,-1.0841,82.33991937,40.23608063,48.86582466664371,25.24,3.961965134706815,91.95721077654517,30.61878922345483,33.29677897457992,-91.0063,3.7103,-30.61878922345483,111.6799864271535,6,2022-04-25,0.4,上交所,可转债
110052.SH,贵广转债,2022-12-13,149.672,148.52,159.361,148.519,153.669,3.997,2.670506173499385,284,1.322739726027,2.224657534246576,1.106273874366333,-11.8456,107.65916509,46.00983491,42.73657042717829,7.94,12.59445843828715,150.5037783375315,3.165221662468514,2.103084518828452,-38.507,2.9066,-3.165221662468514,139.7965312212059,6,2019-03-04,0.5,上交所,可转债
128022.SZ,众信转债,2022-12-13,174.0,173.854,189.0,172.385,178.3,4.3,2.471264367816092,13,0.064109589041,0.02191780821917808,0.0553169584892322,-2001.087,99.72387607,78.57612393,78.79369216941028,5.95,16.80672268907563,178.9915966386555,-0.6915966386554622,-0.3863849765258216,-77.6867,30.7852,0.6915966386554622,179.4872037595234,6,2017-12-01,0.3,深交所,可转债
127065.SZ,瑞鹄转债,2022-12-13,173.36,173.106,184.687,172.901,176.495,3.135,1.808375634517766,175,0.191780821918,5.523287671232877,0.2266353154480297,-6.6717,75.90984864,100.58515136,132.5060623385271,17.36,5.76036866359447,138.8248847926267,37.67011520737327,27.13498755186722,31.1718,3.6011,-37.67011520737327,182.8812562267108,6,2022-06-22,0.4,深交所,可转债
127055.SZ,精装转债,2022-12-13,116.7,116.801,120.201,116.5,118.45,1.75,1.499571550985433,295,0.242465753425,5.194520547945206,0.2532714225411566,0.3044,86.46306954,31.98693046,36.99490502728687,19.1,5.235602094240837,91.62303664921465,26.82696335078534,29.27971428571428,52.1822,1.936,-26.82696335078534,105.9678278097998,6,2022-02-22,0.3,深交所,可转债
123107.SZ,温氏转债,2022-12-13,120.8,120.95,124.709,120.749,122.57,1.77,1.46523178807947,260,0.356164383562,4.29041095890411,0.4079301623562046,-1.9557,97.26232941,25.30767059,26.02001282872627,17.37,5.757052389176741,107.6568796776051,14.91312032239493,13.85245454545455,134.0875,3.4783,-14.91312032239493,110.6871286454469,6,2021-03-26,0.2,深交所,可转债
123080.SZ,海波转债,2022-12-13,141.997,141.741,145.996,141.5,144.0,2.003,1.410593181546089,12,0.039452054795,3.96986301369863,0.8333333333333334,-3.5258,89.6115327,54.3884673,60.69360233138831,11.53,8.673026886383347,136.5134431916739,7.486556808326106,5.484116899618805,53.7013,3.1405,-7.486556808326106,152.339145507857,6,2020-12-02,0.5,深交所,可转债
110063.SH,鹰19转债,2022-12-13,117.951,118.194,121.64,117.81,119.495,1.544,1.309018151605328,1,0.004109589041,3,0.753169588685719,-1.4337,102.47540894,17.01959106,16.60846366562448,2.4,41.66666666666666,108.75,10.745,9.880459770114943,164.6051,0.7938,-10.745,106.1230212447103,6,2019-12-13,0.3,上交所,可转债
113632.SH,鹤21转债,2022-12-13,128.043,128.07,129.944,126.069,129.511,1.468,1.146489851065658,27,0.03698630137,4.928767123287671,0.3860675927141324,-2.1087,95.29531665,34.21568335,35.90489496526585,27.23,3.672420124862284,122.7690047741462,6.741995225853838,5.491610230332038,31.2193,3.6512,-6.741995225853838,128.8300507201748,6,2021-11-17,0.3,上交所,可转债
