代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
113662.SH,豪能转债,2024/11/04,140.7390,155.0000,168.8870,145.1500,168.8870,28.1480,20.00014210702079736200,346,0.378082191781,4.05737704918032786885,0.23684475418475075100,-8.6559,101.78803109915,67.09896890085,65.92029355149823,8.390,11.9189511323003576,157.5685339690107271,11.3184660309892729,7.18320196671709528000,23.6979,3.3035,-11.3184660309892729,154.80065020171762,6.0000,2022/11/25,0.3000,上交所,可转债,AA-,4.20601
123211.SZ,阳谷转债,2024/11/04,154.5600,185.4720,185.4720,185.4720,185.4720,30.9120,20.00000000000000000000,101,0.138356164384,4.72602739726027397260,0.26958247066942719100,-8.9362,100.67706061513,84.79493938487,84.22468719962491,9.620,10.3950103950103950,180.6652806652806653,4.8067193347193347,2.66056616800920597300,28.8231,2.2975,-4.8067193347193347,179.45029340490086,6.0000,2023/07/27,0.3000,深交所,可转债,AA-,5.917749
117224.SZ,24宏博EB,2024/11/04,88.9840,101.0000,102.0000,101.0000,101.6567,12.6727,14.24154904252449878600,127,0.003479452055,2.65479452054794520548,0.009837029925228735538300,0.5055,96.413178582133,5.243521417867001,5.438594074979201,35.500,2.8169014084507042,87.9718309859154930,13.6848690140845070,15.55596701889209088300,19.4114,3.1650,-13.6848690140845070,91.2446122818921,3.0000,2024/06/27,0.0100,深交所,可交换债券(私募),,1.9
117192.SZ,21甘电E1,2024/11/04,105.4000,117.0000,117.0000,117.0000,117.0000,11.6000,11.00569259962049335900,347,0.009479452055,0.05464480874316939891,5.13675213675213675200,-172.0292,105.88904091666,11.110959083340006,10.493020795310528,5.540,18.0505415162454874,118.5920577617328520,-1.5920577617328520,-1.34246575342465754600,12.7456,1.1480,1.5920577617328520,111.99653593526338,3.0000,2021/11/22,0.0100,深交所,可交换债券(私募),,2.3338405855
123101.SZ,拓斯转债,2024/11/04,115.9500,116.3100,130.3060,116.3100,125.9510,10.0010,8.62526951272100043100,240,0.986301369863,2.34520547945205479452,1.19093933355034894500,-4.4898,107.03106241084,18.91993758916,17.67705296293855,12.800,7.8125000000000000,114.5312500000000000,11.4197500000000000,9.97085948158253751700,517.6398,2.7134,-11.4197500000000000,107.00748681758428,6.0000,2021/03/10,0.3000,深交所,可转债,AA,6.694127
111018.SH,华康转债,2024/11/04,112.5470,135.0560,135.0560,118.9330,121.0420,8.4950,7.54795774209885647800,316,0.172602739726,5.13934426229508196721,0.16523190297582657300,-0.1873,98.714935443095,22.327064556905,22.617716819331367,16.890,5.9206631142687981,98.5790408525754885,22.4629591474245115,22.78674954954954949300,20.4326,1.7302,-22.4629591474245115,99.86233634261164,6.0000,2023/12/25,0.2000,上交所,可转债,AA-,13.02357
110060.SH,天路转债,2024/11/04,160.7410,160.7000,176.8000,160.1410,170.9050,10.1640,6.32321560771676174700,8,0.043835616438,0.98082191780821917808,5.85120388519937977200,-36.3336,107.53914111323,63.36585888677,58.92353075430543,4.170,23.9808153477218225,171.2230215827338129,-0.3180215827338129,-0.18573529411764703000,-105.8705,2.4646,0.3180215827338129,159.21925710979025,6.0000,2019/10/25,0.4000,上交所,可转债,AA,2.34211
127074.SZ,麦米转2,2024/11/04,138.5030,138.0880,151.9270,138.0880,146.9510,8.4480,6.09950686988729486000,23,0.063013698630,3.93972602739726027397,0.68049894182414546300,-5.1947,103.88492737177,43.06607262822999,41.45555444642193,30.580,3.2701111837802485,148.8227599738391105,-1.8717599738391105,-1.25771083278400349600,41.8462,5.0352,1.8717599738391105,143.25731724415743,6.0000,2022/10/13,0.3000,深交所,可转债,AA-,7.631827
118037.SH,上声转债,2024/11/04,124.1160,124.3700,133.3560,123.8370,131.5720,7.4560,6.00728350897547455600,122,0.167123287671,4.66849315068493150685,0.38002006505943513800,-2.6925,88.655402107863,42.916597892137005,48.408328056447516,29.580,3.3806626098715348,135.0236646382691007,-3.4516646382691007,-2.55634051076614919200,25.2780,4.4769,3.4516646382691007,152.30167753792597,6.0000,2023/07/06,0.3000,上交所,可转债,A+,5.08486
123160.SZ,泰福转债,2024/11/04,111.2500,111.0000,117.2610,110.7970,117.2000,5.9500,5.34831460674157303400,38,0.104109589041,3.89863013698630136986,0.85324232081911262800,0.6853,89.391872659776,27.808127340224004,31.108115886621242,19.750,5.0632911392405063,108.8607594936708861,8.3392405063291139,7.66046511627906974400,74.8120,2.6538,-8.3392405063291139,121.77925828670482,6.0000,2022/09/28,0.5000,深交所,可转债,A,3.348864
113561.SH,正裕转债,2024/11/04,141.3720,141.2000,152.2000,140.8210,148.7560,7.3840,5.22309934074639957000,310,1.862465753425,1.15573770491803278689,1.47893194224098523800,-20.7208,107.69313539541,41.062864604590004,38.129509790779245,8.500,11.7647058823529412,100.5882352941176471,48.1677647058823529,47.88608187134502917900,30.6917,1.6019,-48.1677647058823529,93.40264346914431,6.0000,2019/12/31,0.5000,上交所,可转债,A+,1.37754
