代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
128052.SZ,凯龙转债,2019-12-05,165.352,162.1,178.88,162.1,172.3,6.948,4.20194494170013,350,0.479452054795,1.300546448087432,0.2901915264074289,-7.773,95.80484581,76.49515419,79.84476520290535,6.77,14.77104874446086,172.9689807976366,-0.6689807976366322,-0.3867634500426986,35.4069,2.5499,0.6689807976366322,180.5430396920302,6,2018-12-21,0.5,深交所,可转债
128020.SZ,水晶转债,2019-12-05,123.471,124.999,127.999,123.68,127.596,4.125,3.340865466384819,19,0.041643835616,0.1945205479452055,0.152434245587636,-3.4862,99.36976198,28.22623802,28.40525876038734,12.23,8.176614881439084,116.9255928045789,10.6704071954211,9.12580979020979,44.8073,3.8431,-10.6704071954211,117.667176085329,6,2017-11-17,0.3,深交所,可转债
128069.SZ,华森转债,2019-12-05,104.8,105.13,109.96,105.13,108.0,3.2,3.053435114503817,165,0.22602739726,3.03013698630137,0.462962962962963,2.0337,84.1979073,23.8020927,28.26922124702261,18.08,5.530973451327434,115.5420353982301,-7.542035398230088,-6.527525131641934,45.6668,8.7966,7.542035398230088,137.2267305724712,6,2019-06-21,0.5,深交所,可转债
128060.SZ,中装转债,2019-12-05,139.28,140.01,144.1,139.101,143.3,4.02,2.886272257323377,255,0.279452054795,0.2896174863387978,0.2745587040829169,-4.4127,99.0750356,44.2249644,44.63784860855503,6.19,16.15508885298869,143.9418416801292,-0.6418416801292407,-0.4459034792368126,21.9691,2.5249,0.6418416801292407,145.2856825217525,6,2019-03-26,0.4,深交所,可转债
128059.SZ,视源转债,2019-12-05,120.836,121.8,124.69,121.716,124.0,3.164,2.618424972690258,270,0.295890410959,0.7377049180327869,0.3225806451612903,-1.566,97.35913363,26.64086637,27.36349983479203,75.72,1.320655044902272,113.0480718436345,10.95192815636556,9.687850467289719,29.7789,12.4194,-10.95192815636556,116.1145006417765,6,2019-03-08,0.4,深交所,可转债
113518.SH,顾家转债,2019-12-05,120.5,121.98,123.51,121.98,123.51,3.01,2.49792531120332,85,0.139726027397,0.7295081967213115,0.4658811724277953,-1.5311,97.38695231,26.12304769,26.82397084041165,36.57,2.734481815695926,111.7035821711786,11.80641782882144,10.56941738066096,20.1043,4.8187,-11.80641782882144,114.7007679382,6,2018-09-12,0.4,上交所,可转债
123009.SZ,星源转债,2019-12-05,112.36,112.271,115.83,112.271,115.053,2.693,2.396760412958348,274,0.375342465753,0.2896174863387978,0.4345823229294325,-1.006,99.27507249,15.77792751,15.89314126322025,26.64,3.753753753753754,98.94894894894895,16.10405105105105,16.27511077389985,23.29,2.4969,-16.10405105105105,99.67149503609387,6,2018-03-07,0.3,深交所,可转债
123003.SZ,蓝思转债,2019-12-05,127.35,127.5,131.98,127.5,130.396,3.046,2.391833529642717,363,0.497260273973,0.1835616438356164,0.3834473450105831,-4.1694,99.97684265,30.41915735,30.42620325237887,10.44,9.578544061302683,131.5134099616858,-1.117409961685824,-0.8496547705753824,38.5953,3.3338,1.117409961685824,131.5438720365369,6,2017-12-08,0.3,深交所,可转债
123025.SZ,精测转债,2019-12-05,111.98,111.999,114.99,111.99,114.5,2.52,2.250401857474549,252,0.345205479452,5.314207650273224,0.4366812227074236,0.5482,84.03913577,30.46086423,36.24604650072308,50.25,1.990049751243781,92.69651741293532,21.80348258706468,23.5213610991842,38.9421,8.616,-21.80348258706468,110.3016071781474,6,2019-03-29,0.5,深交所,可转债
123016.SZ,洲明转债,2019-12-05,116.591,115.8,119.5,115.8,119.0,2.409,2.0661972193394,29,0.063561643836,0.2677595628415301,0.2314368370298908,-0.6527,98.57232951,20.42767049,20.72353427330501,7.82,12.78772378516624,107.9283887468031,11.07161125319693,10.25829383886256,14.4973,2.9069,-11.07161125319693,109.4915675456913,6,2018-11-06,0.5,深交所,可转债
128078.SZ,太极转债,2019-12-05,124.8,124.8,127.27,124.41,127.2,2.4,1.923076923076923,46,0.050410958904,3.377049180327869,0.3144654088050314,-1.3932,87.15044362,40.04955638,45.95450661688783,31.61,3.163555836760519,113.9196456817463,13.28035431825372,11.6576506525965,146.3328,5.2307,-13.28035431825372,130.7160823856129,6,2019-10-21,0.4,深交所,可转债
113520.SH,百合转债,2019-12-05,131.99,130.55,134.67,130.55,134.17,2.18,1.651640275778468,28,0.053698630137,1.09041095890411,0.5217261682939555,-3.1029,94.07641695,40.09358305,42.61810169844059,14.28,7.002801120448179,133.9635854341737,0.2064145658263305,0.1540825927861997,17.7505,3.0767,-0.2064145658263305,142.3986901046338,6,2018-11-08,0.5,上交所,可转债
123020.SZ,富祥转债,2019-12-05,117.25,117.4,119.51,117.4,119.158,1.908,1.6272921108742,280,0.460273972603,0.7486338797814208,0.5035331240873462,0.3166,96.24796445,22.91003555,23.80313774002106,14.93,6.697923643670462,118.2183523107837,0.9396476892163429,0.7948407932011331,16.6268,3.7722,-0.9396476892163429,122.8268597536908,6,2019-02-28,0.6,深交所,可转债
123022.SZ,长信转债,2019-12-05,129.31,129.31,132.48,128.497,131.388,2.078,1.606990951975872,263,0.288219178082,5.284153005464481,0.3044418059487929,-2.4891,91.1043229,40.2836771,44.21708632225617,6.25,16.0,131.84,-0.452,-0.3428398058252427,20.0672,3.5608,0.452,144.7132208476136,6,2019-03-15,0.4,深交所,可转债
