代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
113600.SH,新星转债,2020-09-11,100.0,110.11,112.0,107.6,109.38,9.38,9.38,30,0.032876712329,5.920547945205479,0.365697568111172,2.4626,75.6568407,33.7231593,44.57384023438346,23.85,4.19287211740042,92.66247379454927,16.71752620545074,18.04131221719457,81.8052,2.3306,-16.71752620545074,122.4773238443583,6,2020-08-13,0.4,上交所,可转债
113035.SH,福莱转债,2020-09-11,146.77,146.77,161.0,144.05,160.2,13.43,9.150371329290728,108,0.118356164384,0.3907103825136612,0.171019102833789,-4.9755,98.46266503,61.73733497,62.70126341917479,13.56,7.374631268436578,161.5044247787611,-1.304424778761062,-0.8076712328767123,46.4466,8.5885,1.304424778761062,164.0260546772254,6,2020-05-27,0.4,上交所,可转债
113547.SH,索发转债,2020-09-11,127.97,127.0,139.68,126.06,139.14,11.17,8.72860826756271,324,0.442465753425,0.01366120218579235,0.3220407012318456,-3.0609,100.38491504,38.75508496,38.60648280128285,10.52,9.505703422053232,138.6882129277567,0.451787072243346,0.3257573680603153,44.7806,2.1837,-0.451787072243346,138.1564280574368,6,2019-10-23,0.5,上交所,可转债
113521.SH,科森转债,2020-09-11,173.44,180.38,193.0,179.5,188.53,15.09,8.700415129151292,301,0.575342465753,0.2103825136612022,0.3712936933114093,-11.3226,99.81868296,88.71131704,88.87245795013042,8.7,11.49425287356322,189.6551724137931,-1.125172413793103,-0.5932727272727273,110.636,3.8554,1.125172413793103,189.9996741990605,6,2018-11-16,0.5,上交所,可转债
123030.SZ,九洲转债,2020-09-11,128.897,130.0,145.74,128.702,139.8,10.903,8.458691823704198,23,0.044109589041,1.010928961748634,0.5007153075822603,-15.5765,94.24902274,45.55097726,48.33045047656268,5.65,17.69911504424779,140.7079646017699,-0.9079646017699115,-0.6452830188679245,32.7982,1.3864,0.9079646017699115,149.2938181331958,6,2019-08-20,0.5,深交所,可转债
113586.SH,上机转债,2020-09-11,167.55,160.0,182.4,160.0,180.3,12.75,7.609668755595345,95,0.130136986301,0.3579234972677596,0.1709479634399279,-6.8544,97.91223299,82.38776701,84.1445082949078,33.31,3.002101471029721,197.2380666466527,-16.93806664665266,-8.587625570776256,50.7648,8.4319,16.93806664665266,201.4437426493961,6,2020-06-09,0.5,上交所,可转债
113038.SH,隆20转债,2020-09-11,140.31,141.0,150.56,140.83,149.69,9.38,6.685197063644787,43,0.035342465753,0.5506849315068493,0.1334264328928185,-4.9085,98.04246484,51.64753516,52.6787400176913,52.77,1.895016107636915,132.3100246352094,17.3799753647906,13.13579633342882,31.9899,8.4916,-17.3799753647906,134.951752642217,6,2020-07-31,0.3,上交所,可转债
113561.SH,正裕转债,2020-09-11,123.48,123.48,131.9,123.48,130.96,7.48,6.057661159701976,256,0.349315068493,5.30327868852459,0.3817959682345755,-1.9118,75.44222688,55.51777312,73.58978574201917,10.23,9.775171065493646,132.9423264907136,-1.982326490713588,-1.491117647058823,60.7576,3.6248,1.982326490713588,176.2173944072124,6,2019-12-31,0.5,上交所,可转债
128112.SZ,歌尔转2,2020-09-11,167.119,167.2,177.101,166.0,175.89,8.771,5.248355961919351,92,0.050410958904,0.473972602739726,0.08224318281117744,-7.2822,98.14593691,77.74406309,79.21271683543196,23.27,4.297378599054577,181.3493768801031,-5.459376880103137,-3.010419431279621,87.7004,8.4705,5.459376880103137,184.7752261475692,6,2020-06-12,0.2,深交所,可转债
128071.SZ,合兴转债,2020-09-11,126.2,126.5,133.31,124.503,132.78,6.58,5.213946117274168,27,0.03698630137,4.928767123287671,0.3765627353517096,-2.9576,92.16089032,40.61910968,44.07412899220351,4.28,23.36448598130841,134.5794392523364,-1.799439252336449,-1.337083333333333,24.3733,2.2685,1.799439252336449,146.0266266797676,6,2019-08-15,0.3,深交所,可转债
128127.SZ,文科转债,2020-09-11,100.0,110.0,110.01,104.3,104.851,4.851,4.851,23,0.031506849315,5.93972602739726,0.4768671734175163,2.5363,57.92815119,46.92284881,81.00180628257334,5.76,17.36111111111111,92.88194444444444,11.96905555555556,12.88631028037383,14.1691,1.0984,-11.96905555555556,160.3399082076668,6,2020-08-20,0.5,深交所,可转债
128067.SZ,一心转债,2020-09-11,140.008,141.399,149.588,139.977,145.201,5.193,3.709073767213302,146,0.24,0.1448087431693989,0.2241578584546869,-5.4165,99.68060952,45.52039048,45.66624411628096,26.83,3.727171077152441,146.2914647782333,-1.090464778233321,-0.7454056050955414,27.0036,4.6919,1.090464778233321,146.7602028947077,6,2019-04-19,0.3,深交所,可转债
113553.SH,金牌转债,2020-09-11,132.69,132.7,140.97,132.7,137.58,4.89,3.685281483156229,274,0.299178082192,0.2295081967213115,0.2835905905118695,-1.9072,98.85176591,38.72823409,39.17809027838742,44.14,2.265518803806072,132.8726778432261,4.707322156773901,3.542731457800512,46.3159,4.9122,-4.707322156773901,134.416089201887,6,2019-12-13,0.4,上交所,可转债
128041.SZ,盛路转债,2020-09-11,191.1,188.98,210.999,188.979,198.0,6.9,3.610675039246468,57,0.156164383562,3.846575342465754,0.5050505050505051,-13.5032,83.58082487,114.41917513,136.8964416275687,6.85,14.5985401459854,121.8978102189781,76.10218978102189,62.4311377245509,91.6431,2.6382,-76.10218978102189,145.8442297124677,6,2018-07-17,0.5,深交所,可转债
123035.SZ,利德转债,2020-09-11,124.85,125.0,131.568,125.0,129.35,4.5,3.604325190228274,303,0.413698630137,5.174863387978142,0.3865481252415926,-2.1958,93.54922659,35.80077341,38.26944883991905,6.98,14.32664756446991,123.9255014326648,5.424498567335244,4.377225433526012,48.9485,2.5924,-5.424498567335244,132.4708989586792,6,2019-11-14,0.5,深交所,可转债
113598.SH,法兰转债,2020-09-11,128.54,128.3,134.5,128.3,132.73,4.19,3.259685700949121,43,0.047123287671,5.884931506849315,0.301363670609508,-1.5614,82.16118454,50.56881546,61.54830379226176,13.88,7.204610951008646,128.6743515850144,4.055648414985591,3.151870100783875,28.2065,3.527,-4.055648414985591,156.6120940264312,6,2020-07-31,0.4,上交所,可转债
113550.SH,常汽转债,2020-09-11,145.17,145.17,150.49,145.04,149.59,4.42,3.044706206516498,299,0.408219178082,1.602739726027397,0.334246941640484,-3.9754,91.50498164,58.08501836,63.47743840714463,9.65,10.36269430051813,146.3212435233161,3.268756476683938,2.233958923512748,18.2243,1.5977,-3.268756476683938,159.9052214435438,6,2019-11-18,0.5,上交所,可转债
